number,temperature,pressure,acceleration
96,23.8125,1010.24,"[9.68897, -0.470719, -0.0784532]"
97,23.25,1010.48,"[9.61051, -0.11768, -0.23536]"
98,23.8125,1010.25,"[9.76742, -0.392266, 0.0]"
99,23.25,1010.47,"[9.49284, -0.0784532, -0.274586]"
100,23.8125,1010.24,"[9.8851, -0.588399, -0.11768]"
101,23.25,1010.47,"[9.57129, 0.0392266, -0.23536]"
102,23.8125,1010.23,"[9.76742, -0.509946, 0.0]"
103,23.3125,1010.48,"[9.61051, -0.156906, -0.23536]"
104,23.875,1010.23,"[9.80664, -0.392266, -0.0784532]"
105,23.25,1010.48,"[9.49284, -0.11768, -0.274586]"
106,23.8125,1010.23,"[9.68897, -0.431492, -0.0784532]"
107,23.25,1010.47,"[9.49284, -0.0784532, -0.353039]"
108,23.8125,1010.23,"[9.7282, -0.470719, -0.0784532]"
109,23.3125,1010.48,"[9.49284, -0.156906, -0.156906]"
110,23.8125,1010.23,"[9.80664, -0.509946, -0.0784532]"
111,23.25,1010.48,"[9.41438, -0.0784532, -0.274586]"
112,23.8125,1010.23,"[9.80664, -0.313813, 0.0784532]"
113,23.25,1010.49,"[9.53206, -0.0784532, -0.23536]"
114,23.8125,1010.24,"[9.76742, -0.431492, -0.0784532]"
115,23.25,1010.48,"[9.45361, -0.0784532, -0.274586]"
116,23.8125,1010.23,"[9.76742, -0.353039, -0.11768]"
117,23.25,1010.48,"[9.49284, -0.0784532, -0.23536]"
118,23.8125,1010.23,"[9.7282, -0.431492, -0.0784532]"
119,23.25,1010.48,"[9.49284, -0.0392266, -0.196133]"
120,23.8125,1010.23,"[9.7282, -0.431492, 0.0]"
121,23.25,1010.48,"[9.49284, -0.0784532, -0.23536]"
122,23.875,1010.24,"[9.76742, -0.431492, 0.0]"
123,23.25,1010.48,"[9.53206, -0.196133, -0.23536]"
124,23.8125,1010.24,"[9.76742, -0.313813, -0.0784532]"
125,23.25,1010.48,"[9.53206, -0.0784532, -0.274586]"
126,23.8125,1010.24,"[9.76742, -0.313813, -0.156906]"
127,23.25,1010.48,"[9.49284, -0.0784532, -0.313813]"
128,23.875,1010.24,"[9.76742, -0.353039, -0.0784532]"
129,23.3125,1010.48,"[9.57129, -0.11768, -0.23536]"
130,23.8125,1010.24,"[9.7282, -0.549172, -0.0784532]"
131,23.25,1010.49,"[9.49284, -0.0784532, -0.313813]"
132,23.8125,1010.24,"[9.7282, -0.509946, -0.156906]"
133,23.25,1010.49,"[9.53206, -0.0392266, -0.23536]"
134,23.8125,1010.25,"[9.76742, -0.470719, -0.0392266]"
135,23.25,1010.49,"[9.57129, -0.11768, -0.23536]"
136,23.8125,1010.25,"[9.68897, -0.431492, -0.0784532]"
137,23.3125,1010.49,"[9.53206, -0.0784532, -0.23536]"
138,23.8125,1010.24,"[9.80664, -0.392266, -0.11768]"
139,23.1875,1010.49,"[9.57129, -0.156906, -0.23536]"
140,23.8125,1010.24,"[9.92433, -0.392266, -0.392266]"
141,23.1875,1010.49,"[9.57129, -0.11768, -0.196133]"
142,23.8125,1010.24,"[9.7282, -0.431492, -0.0784532]"
143,23.25,1010.49,"[9.49284, -0.11768, -0.156906]"
144,23.8125,1010.25,"[9.7282, -0.470719, -0.0392266]"
145,23.25,1010.49,"[9.57129, -0.196133, -0.156906]"
146,23.8125,1010.24,"[9.76742, -0.470719, -0.11768]"
147,23.25,1010.49,"[9.45361, -0.196133, -0.0784532]"
