time,acc_x,acc_y,acc_z
1702042201066.0,-0.628,0.039,9.14
1702042201608.7,-0.667,-0.078,9.14
1702042201608.715,-0.628,-0.039,9.101
1702042201608.73,-0.628,-0.039,9.061
1702042201608.745,-0.706,-0.039,9.101
1702042201608.76,-0.667,-0.078,9.101
1702042201608.775,-0.588,-0.039,9.14
1702042201608.79,-0.667,-0.039,9.14
1702042201608.805,-0.667,-0.039,9.061
1702042201608.82,-0.588,-0.039,9.14
1702042201608.835,-0.628,-0.039,9.101
1702042201608.85,-0.667,-0.039,9.101
1702042201608.865,-0.628,-0.039,9.061
1702042201608.88,-0.628,-0.039,9.022
1702042201608.895,-0.588,-0.039,9.101
1702042201608.91,-0.667,-0.039,9.061
1702042201608.925,-0.667,0.0,9.14
1702042201608.94,-0.667,-0.039,9.14
1702042201608.955,-0.706,-0.078,9.101
1702042201608.97,-0.628,0.0,9.14
1702042201608.985,-0.588,0.0,9.101
1702042201609.0,-0.628,-0.118,9.101
1702042202165.7,-0.588,0.0,9.101
1702042202165.715,-0.667,-0.118,9.101
1702042202165.73,-0.667,0.0,9.061
1702042202165.745,-0.667,-0.039,9.101
1702042202165.76,-0.588,0.0,9.14
1702042202165.775,-0.628,-0.078,9.061
1702042202165.79,-0.588,-0.039,9.101
1702042202165.805,-0.667,-0.039,9.061
1702042202165.82,-0.628,0.0,9.101
1702042202165.835,-0.745,-0.078,9.14
1702042202165.85,-0.628,-0.039,9.101
1702042202165.865,-0.706,-0.078,9.061
1702042202165.88,-0.549,0.0,9.061
1702042202165.895,-0.628,-0.078,9.101
1702042202165.91,-0.628,0.0,9.061
1702042202165.925,-0.667,0.0,9.061
1702042202165.94,-0.706,0.0,9.14
1702042202165.955,-0.667,-0.039,9.14
1702042202165.97,-0.667,0.0,9.101
1702042202165.985,-0.667,-0.078,9.101
1702042202166.0,-0.667,-0.039,9.14
1702042202710.7,-0.667,-0.039,9.101
1702042202710.715,-0.628,0.0,9.061
1702042202710.73,-0.628,-0.039,9.101
1702042202710.745,-0.667,-0.039,9.14
1702042202710.76,-0.706,-0.118,9.14
1702042202710.775,-0.549,0.0,9.061
1702042202710.79,-0.628,-0.078,9.061
1702042202710.805,-0.628,0.0,9.14
